DIAXWRI/ZON, V1  PAPNSN, XWRI/ZW          DIA
E)CAGAGE/TW, VB  AAD3S, A)/GW            E)K
KATALEI/YEI, VF  FAI3S, LEI/PW           KATA
DIANOIXQH/SONTAI, VQ  FPI3P, OI)/GW           DIA   A)NA
A)PELEU/SH|, VF  FMI2S, E)/RXOMAI        A)PO
DIE/LH|S, VB  AAS2S, AI(RE/W          DIA
PROSQH/SEI, VF  FAI3S, TI/QHMI          PROS
PARALU/SEI, VF  FAI3S, LU/W             PARA
DIANAPAU/SEI, VF  FAI3S, PAU/W            DIA   A)NA
DIANOEI=TAI, V2  PMI3S, NOE/OMAI         DIA
A)PALEI/YW, VF  FAI1S, A)LEI/FW         A)PO
E)PISUNA/GWN, V1  PAPNSM, A)/GW            E)PI  SUN
SUNTELE/SEIS, VF  FAI2S, TELE/W           SUN
E)PA/GW, V1  PAI1S, A)/GW            E)PI
EI)SELEU/SH|, VF  FMI2S, E)/RXOMAI        EI)S
SUNA/CEIS, VF  FAI2S, A)/GW            SUN
EI)SPOREUO/MENA, V1  PMPNPN, POREU/OMAI       EI)S
E)CHLEI/FQHSAN, VVI API3P, A)LEI/FW         E)K
SUNESXE/QH, VCI API3S, E)/XW            SUN
E)KTEI/NAS, VA  AAPNSM, TEI/NW           E)K
E)PISXW\N, VB  AAPNSM, E)/XW            E)PI
E)CH/LQOSAN, VBI AAI3P, E)/RXOMAI        E)K
DIANOHQEI/S, VC  APPNSM, NOE/OMAI         DIA
PROSQH/SW, VF  FAI1S, TI/QHMI          PROS
KATAPAU/SOUSIN, VF  FAI3P, PAU/W            KATA
E)KZHTH/SW, VA  AAS1S, ZHTE/W           E)K
SUNEKA/LUYAN, VAI AAI3P, KALU/PTW         SUN
E)CE/NHYEN, VAI AAI3S, NH/FW            E)K
KATOIKHSA/TW, VA  AAD3S, OI)KE/W          KATA
A)FWRI/SQHSAN, VSI API3P, O(RI/ZW          A)PO
E)PIQW=NTAI, V7  PMS3P, TI/QHMI          E)PI
SUNE/XEEN, V2I IAI3S, XE/W             SUN
KATARWME/NOUS, V3  PMPAPM, A)RA/OMAI        KATA
PERIPOIH/SONTAI, VF  FMI3P, POIE/W           PERI
SUMPOREUOME/NW|, V1  PMPDSM, POREU/OMAI       SUN
DIAXWRI/SQHTI, VS  APD2S, XWRI/ZW          DIA
E)PA/RAS, VA  AAPNSM, AI)/RW           E)PI
DIAXWRISQH=NAI, VS  APN, XWRI/ZW          DIA
DIO/DEUSON, VA  AAD2S, O(DEU/W          DIA
A)POSKHNW/SAS, VA  AAPNSM, SKHNO/W          A)PO
PARETA/CANTO, VAI AMI3P, TA/SSW           PARA
E)NE/PESAN, VAI AAI3P, PI/PTW           E)N
A)PW/|XONTO, V1I IMI3P, OI)/XOMAI        A)PO
KATOIKW=N, V2  PAPNSM, OI)KE/W          KATA
SUMPOREUQE/NTWN, VC  APPGPM, POREU/OMAI       SUN
A)POSTRAFH/SONTAI, VD  FPI3P, STRE/FW          A)PO
A)NAPEPLH/RWNTAI, VX  XMI3P, PLHRO/W          A)NA
A)POSTRA/FHTI, VD  APD2S, STRE/FW          A)PO
KATOIKH/SEI, VF  FAI3S, OI)KE/W          KATA
E)PIDW/N, VB  AAPNSM, O(RA/W           E)PI
DIATHRH/SEIS, VF  FAI2S, THRE/W           DIA
PERITMHQH/SETAI, VC  FPI3S, TE/MNW           PERI
E)PH/KOUSA/, VAI AAI1S, A)KOU/W          E)PI
PARELEU/SESQE, VF  FMI2P, E)/RXOMAI        PARA
E)CEKLI/NATE, VAI AAI2P, KLI/NW           E)K
E)PANASTRE/FWN, V1  PAPNSM, STRE/FW          E)PI  A)NA
KATE/BLEYAN, VAI AAI3P, BLE/PW           KATA
SUMPROPE/MPWN, V1  PAPNSM, PE/MPW           SUN   PRO
SUNTA/CEI, VF  FAI3S, TA/SSW           SUN
SUNAPOLE/SH|S, VA  AAS2S, O)LLU/W          SUN   A)PO
A)POLEI=S, VF2 FAI2S, O)LLU/W          A)PO
A)NH/SEIS, VF  FAI2S, I(/HMI           A)NA
E)KKLI/NATE, VA  AAD2P, KLI/NW           E)K
KATALU/SATE, VA  AAD2P, LU/W             KATA
PERIEKU/KLWSAN, VAI AAI3P, KUKLO/W          PERI
PROSE/W|CEN, VAI AAI3S, OI)/GNUMI        PROS
E)CA/CW, VF  FAI1S, A)/GW            E)K
A)PO/STA, VA  AAD2S, I(/STHMI         A)PO
PAREBIA/ZONTO, V1I IMI3P, BIA/ZOMAI        PARA
EI)SESPA/SANTO, VAI AMI3P, SPA/W            EI)S
E)KTRI/BEI, V1  PAI3S, TRI/BW           E)K
E)PESPOU/DAZON, V1I IAI3P, SPOUDA/ZW        E)PI
SUNAPO/LH|, V5  PMS2S, O)LLU/W          SUN   A)PO
PERIBLE/YH|S, VA  AAS2S, BLE/PW           PERI
SUMPARALHMFQH=|S, VV  APS2S, LAMBA/NW         SUN   PARA
KATALA/BH|, VB  AAS3S, LAMBA/NW         KATA
E)CANASTH/SWMEN, VA  AAS1P, I(/STHMI         E)K   A)NA
A)PO/DOS, VO  AAD2S, DI/DWMI          A)PO
E)NIDW\N, VB  AAPNSM, O(RA/W           E)N
SUGXAREI=TAI/, VF  FMI3S, XAI/RW           SUN
A)PEGALAKTI/SQH, VSI API3S, GALAKTI/ZW       A)PO
A)NABOH=SAN, VA  AAPNSN, BOA/W            A)NA
E)PAKH/KOEN, VX  XAI3S, A)KOU/W          E)PI
PARW/|KHSAS, VAI AAI2S, OI)KE/W          PARA
E)PE/SACEN, VAI AAI3S, SA/TTW           E)PI
E)PIBA/LH|S, VB  AAS2S, BA/LLW           E)PI
A)PEKATE/STHSEN, VHI AAI3S, I(/STHMI         A)PO  KATA
A)POSTRE/YW, VF  FAI1S, STRE/FW          A)PO
PARESIW/PA, V3I IAI3S, SIWPA/W          PARA
A)PE/SACEN, VAI AAI3S, SA/TTW           A)PO
PAROIKW=, V2  PAI1S, OI)KE/W          PARA
E)PE/BHSAN, VZI AAI3P, BAI/NW           E)PI
A)NABLE/YASA, VA  AAPNSF, BLE/PW           A)NA
E)KLIPW\N, VB  AAPNSM, LEI/PW           E)K
DIASTALH/SONTAI, VD  FPI3P, STE/LLW          DIA
U(PERE/CEI, VF  FAI3S, E)/XW            U(PER
E)PEILHMME/NH, VP  XMPNSF, LAMBA/NW         E)PI
A)PO/DOU, VO  AMD2S, DI/DWMI          A)PO
KATABH=|S, VZ  AAS2S, BAI/NW           KATA
DIAQHSO/MEQA, VF  FMI1P, TI/QHMI          DIA
E)CAPESTEI/LAME/N, VAI AAI1P, STE/LLW          E)K   A)PO
E)PA/CW, VF  FAI1S, A)/GW            E)PI
KATARW/MENO/S, V3  PMPNSM, A)RA/OMAI        KATA
U(PELI/PW, VBI AMI2S, LEI/PW           U(PO
KATANUXQE/NTOS, VQ  APPGSM, NU/TTW           KATA
E)KLU/SEIS, VF  FAI2S, LU/W             E)K
E)NEKO/TEI, V2I IAI3S, KOTE/W           E)N
A)PEILEI=, V2  PAI3S, EI)LE/W          A)PO
